calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 20.200000 -65.510625 163.302854 3.871515 9.678089 6.595632 -0.000686 7.512124 -0.007062 0.001535 11.728613 0.000000 0.000000 0.000000 
1 20.400000 -74.251097 155.482080 3.871515 10.985851 7.537159 0.011323 8.733300 -0.020482 0.002239 11.728613 0.000000 0.000000 0.000000 
1 20.600000 -81.899010 148.638903 3.845335 12.516696 8.284068 0.026188 10.114119 -0.037998 0.002942 10.262536 -0.026180 0.000000 0.000000 
2 20.600000 -81.899010 148.638903 3.845335 12.516696 8.284068 0.026188 10.114119 -0.037998 0.002942 0.000000 0.000000 80.000000 -25.000000 
3 20.600000 -83.990475 146.723546 3.852924 8.177082 5.505160 0.001415 6.531096 0.007278 0.000728 0.000000 0.000000 0.000000 0.000000 
1 20.800000 -91.764278 140.023724 3.879104 9.439190 6.603943 0.006436 7.459589 0.001751 0.001431 10.262536 0.026180 0.000000 0.000000 
2 20.800000 -91.764278 140.023724 3.879104 9.439190 6.603943 0.006436 7.459589 0.001751 0.001431 0.000000 0.000000 80.000000 -25.000000 
3 20.800000 -90.809941 141.118273 3.865085 6.741068 4.585648 -0.000715 5.612811 0.011052 0.000775 0.000000 0.000000 0.000000 0.000000 
1 21.000000 -99.600519 133.353862 3.865085 8.015332 5.718920 0.005301 6.444725 0.004240 0.001478 11.728613 -0.000000 0.000000 0.000000 
1 21.200000 -108.391097 125.589450 3.865085 9.425415 6.698422 0.016777 7.450733 -0.008752 0.002181 11.728613 0.000000 0.000000 0.000000 
1 21.400000 -112.786386 121.707244 3.917445 10.723559 7.657046 0.025735 8.643681 -0.017883 0.002884 5.864306 0.052360 0.000000 0.000000 
2 21.400000 -112.786386 121.707244 3.917445 10.723559 7.657046 0.025735 8.643681 -0.017883 0.002884 0.000000 0.000000 80.000000 15.000000 
3 21.400000 -114.070854 121.216125 3.887105 7.232994 5.207293 -0.007273 6.025439 -0.001192 0.000805 0.000000 0.000000 0.000000 0.000000 
1 21.600000 -117.302412 118.232593 3.965645 8.211785 6.316616 -0.004674 7.227392 -0.003597 0.001508 4.398230 0.078540 0.000000 0.000000 
2 21.600000 -117.302412 118.232593 3.965645 8.211785 6.316616 -0.004674 7.227392 -0.003597 0.001508 0.000000 0.000000 80.000000 10.000000 
3 21.600000 -117.183821 118.547017 3.952826 6.128509 4.463062 -0.012592 5.404447 0.000396 0.000777 0.000000 0.000000 0.000000 0.000000 
1 21.800000 -121.222008 114.294591 4.057546 6.846068 5.562099 -0.008978 6.798643 -0.002379 0.001480 5.864306 0.104720 0.000000 0.000000 
